title,title_original,title_english,title_japanese,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Violet Evergarden: Recollections,Violet Evergarden: Recollections,Violet Evergarden: Recollections,ヴァイオレット・エヴァーガーデン特別総集版,Violet Evergarden: Recollections,1,Recap of Violet Evergarden.,Drama,,8.4,1,2021,Kyoto Animation,,,,emotionally resonant — Recap of Violet Evergarden.,genre/theme synthesis,,,53672,https://myanimelist.net/anime/53672,https://myanimelist.net/images/anime/1902/143097l.jpg,Violet Evergarden: Recollections,1.0
Kaguya-sama: Love is War,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,1,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body's top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuki serves as the student council president. Alongside him, the vice president Kaguya—eldest daughter of the wealthy Shinomiya family—excels in every field imaginable. They are the envy of the entire student body, regarded as the perfect couple.  However, despite both having already developed feelings for the other, neither are willing to admit them. The first to confess loses, will be looked down upon, and will be considered the lesser. With their honor and pride at stake, Miyuki and Kaguya are both equally determined to be the one to emerge victorious on the battlefield of love!  [Written by MAL Rewrite]",Comedy | Romance | Seinen,School,8.4,12,2019,A-1 Pictures,Kei Haneoka,,,"Excellent, romantic — viewers describe it as 10/10, an excellent romantic comedy",AniList review synthesis,,,37999,https://myanimelist.net/anime/37999,https://myanimelist.net/images/anime/1295/106551l.jpg,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,1.0
Made in Abyss: Wandering Twilight,Made in Abyss Movie 2: Hourou Suru Tasogare,Made in Abyss: Wandering Twilight,劇場版総集編【後編】メイドインアビス 放浪する黄昏,Made in Abyss Movie 2: Hourou Suru Tasogare,1,The movie is a compilation of episodes 9-13 of the 2017 television series. Riko and Reg descend to the third layer where Riko has her first experience of the Curse. They descend to the fourth layer where Riko's arm is injured by an Orbed Piercer and Reg tries to save her. Nanachi comes to their aid and saves Riko's poisoned arm. In return Nanachi asks Reg to kill her immortal companion Mitty. Nanachi then joins Riko and Reg in their quest to reach the bottom of the Abyss.  (Source: Wikipedia),Adventure | Drama | Fantasy | Mystery | Sci-Fi,Gore,8.39,1,2019,Kinema Citrus,Kevin Penkin,,,"Dark, compelling — viewers describe it as dark and light coexist to make a stronger, more compelling narrative",AniList review synthesis,,,37515,https://myanimelist.net/anime/37515,https://myanimelist.net/images/anime/1336/95168l.jpg,Made in Abyss Movie 2: Hourou Suru Tasogare,1.0
Puella Magi Madoka Magica,Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,魔法少女まどか★マギカ,Mahou Shoujo Madoka★Magica,1,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student.  Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems.  A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true.  [Written by MAL Rewrite]",Award Winning | Drama | Suspense,Mahou Shoujo | Psychological,8.38,12,2011,Shaft,"Yuki Kajiura, Johann Sebastian Bach, Charles Gounod",,,— viewers describe it as the Line Between Hope and Despair,AniList review synthesis,,,9756,https://myanimelist.net/anime/9756,https://myanimelist.net/images/anime/11/55225l.jpg,Mahou Shoujo Madoka★Magica,1.0
Gintama: Love Incense Arc,Gintama°: Aizome Kaori-hen,Gintama: Love Incense Arc,銀魂　愛染香篇,Gintama°: Aizome Kaori-hen,1,"The red-light district, Yoshiwara, is suddenly taken over by ""Aizen Kou,"" an incense that has the ability to make anyone fall in love with the first person they see. Having been outlawed for its strong potency, the love drug was thought to have disappeared from the red-light district for good; however, it seems to have found its way back inside Yoshiwara's walls and now has the entire district under its influence.  Of those affected is the cold-hearted Hyakka captain, Tsukuyo, and the first person she sees after inhaling the smoke is none other than the brazen Yorozuya leader, Gintoki Sakata. Unbeknownst to everyone else though, she was already attracted to Gintoki. With those hidden feelings now intensified, Tsukuyo must overcome her afflictions and work with the Yorozuya to return everyone back to normal.   [Written by MAL Rewrite]",Comedy | Shounen,Gag Humor | Parody,8.38,2,2016,Bandai Namco Pictures,,,,"Notable for: parody, samurai, anachronism, male protagonist, aliens",AniList review synthesis,,,32366,https://myanimelist.net/anime/32366,https://myanimelist.net/images/anime/1962/133573l.jpg,Gintama°: Aizome Kaori-hen,1.0
Cowboy Bebop: The Movie,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,Cowboy Bebop: Tengoku no Tobira,1,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.  With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.  [Written by MAL Rewrite]",Action | Sci-Fi,Adult Cast | Space,8.38,1,2001,Bones,Yoko Kanno,,,"Perfect, heaven, wonderfully, amazing — viewers describe it as the perfect companion piece (Spoilers)",AniList review synthesis,,,5,https://myanimelist.net/anime/5,https://myanimelist.net/images/anime/1439/93480l.jpg,Cowboy Bebop: Tengoku no Tobira,1.0
Laid-Back Camp: The Movie,Yuru Camp△ Movie,Laid-Back Camp: The Movie,映画 ゆるキャン△,Yuru Camp△ Movie,1,"As time marches forward, Rin Shima, Nadeshiko Kagamihara, and their friends have grown into full-fledged adults. Now with careers and responsibilities, they can no longer freely spend their days camping and adventuring. However, Chiaki Oogaki, who currently works for the Yamanashi Tourism Organization, reunites the group as she comes up with an exciting proposal—to build a campground together to revitalize an abandoned patch of land from their homeplace, the Yamanashi Prefecture.  Motivated by this ambitious project, the girls combine their efforts to create an environment where future generations can enjoy unique moments as they once did, all while reminiscing the charms of camping from their high school days.  [Written by MAL Rewrite]",Slice of Life,Adult Cast | CGDCT | Iyashikei,8.38,1,2022,C-Station,Akiyuki Tateyama,,,Depressing — viewers describe it as a worth while sequel,AniList review synthesis,,,38475,https://myanimelist.net/anime/38475,https://myanimelist.net/images/anime/1806/124396l.jpg,Yuru Camp△ Movie,1.0
Tomorrow's Joe,Ashita no Joe,Tomorrow's Joe,あしたのジョー,Ashita no Joe,1,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.  One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.  To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.  [Written by MAL Rewrite]",Drama | Sports | Shounen,Combat Sports,8.37,79,1970,Mushi Production,,,,Classic — viewers describe it as a classic in every way that still holds up today,AniList review synthesis,,,2402,https://myanimelist.net/anime/2402,https://myanimelist.net/images/anime/5/64671l.jpg,Ashita no Joe,1.0
Jujutsu Kaisen 0,Jujutsu Kaisen 0 Movie,Jujutsu Kaisen 0,劇場版 呪術廻戦 0,Jujutsu Kaisen 0 Movie,1,"Violent misfortunes frequently occur around 16-year-old Yuuta Okkotsu, a timid victim of high school bullying. Yuuta is saddled with a monstrous curse, a power that dishes out brutal revenge against his bullies. Rika Orimoto, Yuuta's curse, is a shadow from his tragic childhood and a potentially lethal threat to anyone who dares wrong him.  Yuuta's unique situation catches the attention of Satoru Gojou, a powerful sorcerer who teaches at Tokyo Prefectural Jujutsu High School. Gojou sees immense potential in Yuuta, and he hopes to help the boy channel his deadly burden into a force for good. Yet Yuuta struggles to find his place among his talented classmates: the selectively mute Toge Inumaki, weapons expert Maki Zenin, and Panda.  Yuuta clumsily utilizes Rika on missions with the other first-year students, but the grisly aftermath of Rika's tremendous displays of power draws the interest of the calculating curse user Suguru Getou. As Getou strives to claim Rika's strength and use it to eliminate all non-jujutsu users from the world, Yuuta fights alongside his friends to stop the genocidal plot.  [Written by MAL Rewrite]",Action | Supernatural | Shounen,School,8.37,1,2021,MAPPA,"Alisa Okehazama, Yoshimasa Terui, Hiroaki Tsutsumi",,,"Beautifully — viewers describe it as ""Jujutsu Kaisen 0"" was a beautifully animated adaption of Akutami's novel of the same name",AniList review synthesis,,,48561,https://myanimelist.net/anime/48561,https://myanimelist.net/images/anime/1121/119044l.jpg,Jujutsu Kaisen 0 Movie,1.0
Chihayafuru 2,Chihayafuru 2,,ちはやふる 2,Chihayafuru 2,1,"Chihaya Ayase is obsessed with developing her school's competitive karuta club, nursing daunting ambitions like winning the national team championship at the Omi Jingu and becoming the Queen, the best female karuta player in Japan—and in extension, the world. As their second year of high school rolls around, Chihaya and her fellow teammates must recruit new members, train their minds and bodies alike, and battle the formidable opponents that stand in their way to the championship title. Meanwhile, Chihaya's childhood friend, Arata Wataya, the prodigy who introduced her to karuta, rediscovers his lost love for the old card game.  [Written by MAL Rewrite]",Drama | Romance | Sports | Josei,Love Polygon | School | Strategy Game,8.37,25,2013,Madhouse,"Gustav Mahler, Kousuke Yamashita",,,"Outstanding, excellent, compelling, gripping — viewers describe it as an outstanding sequel that exposes how karuta sport influences the personal growth of the characters",AniList review synthesis,,,14397,https://myanimelist.net/anime/14397,https://myanimelist.net/images/anime/6/47435l.jpg,Chihayafuru 2,1.0
Neon Genesis Evangelion,Shinseiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,Shinseiki Evangelion,1,"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called Angels invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]",Avant Garde | Award Winning | Drama | Sci-Fi | Suspense,Mecha | Psychological,8.37,26,1995,"Gainax, Tatsunoko Production","Georg Friedrich Handel, Hijiri Kuwano, Shirou Sagisu",,,"— viewers describe it as neon Genesis Evangelion is a must-watch for any anime fan, even if only for its legacy",AniList review synthesis,,,30,https://myanimelist.net/anime/30,https://myanimelist.net/images/anime/1314/108941l.jpg,Shinseiki Evangelion,1.0
K-ON! The Movie,K-On! Movie,K-ON! The Movie,映画 けいおん！,K-On! Movie,1,"Graduation looms for the founding members of the Light Music Club. With only a few precious weeks of school left, the girls decide to make the most of it and plan a trip abroad. Hawaii, New York, Dubai—many destinations are suggested, but after a little help from the club's precious pet turtle, Ton-chan, London is chosen as the host of their next misadventure!  Yui Hirasawa, Mio Akiyama, Tsumugi Kotobuki, Ritsu Tainaka, and Azusa Nakano will visit famous landmarks, perform live music for Londoners, and eat all sorts of delicious food, all while stumbling clumsily from place to place. But the fun won't last forever, as heartfelt songs and goodbyes will be made as their high school days together come to a close. One thing is for certain though: the undeniable friendships these girls have formed is something that will carry on long after the final scene rolls.  [Written by MAL Rewrite]",Award Winning | Comedy,CGDCT | Music,8.36,1,2011,Kyoto Animation,Hajime Hyakkoku,,,"— viewers describe it as flying from their club all the way to London, no matter where they are, we can always feel their transcending bonds",AniList review synthesis,,,9617,https://myanimelist.net/anime/9617,https://myanimelist.net/images/anime/5/76233l.jpg,K-On! Movie,1.0
Gintama: Jump Festa 2008 Special,Gintama: Shiroyasha Koutan,Gintama: Jump Festa 2008 Special,ジャンプアニメツアー 2008 白夜叉降誕,Gintama: Shiroyasha Koutan,1,"According to Aniplex, a 10min short anime of Gintama ""Shiroyasha Koutan"" will be released on September 30th. It was shown at Jump Super Anime Tour 2008 and had never been released as a DVD.  It's a trailer of an imaginary Gintama movie. Gintama OVA shown at Jump Anime Tour '05 is also included in the DVD.",Action | Comedy | Sci-Fi,Historical | Parody,8.36,1,2008,Sunrise,,,,"Notable for: parody, swordplay, meta, historical, samurai",AniList review synthesis,,,6945,https://myanimelist.net/anime/6945,https://myanimelist.net/images/anime/6/16161l.jpg,Gintama: Shiroyasha Koutan,1.0
Fruits Basket: Prelude,Fruits Basket: Prelude,,フルーツバスケット -prelude-,Fruits Basket: Prelude,1,"Despite Kyouko Honda's tragic death, her vivid memory lives on, providing guidance through times of hardship to her close ones. However, Kyouko was not always the wise and radiant person that she is fondly remembered as in the present day.  Feeling deserted by her own family and rejected by society, a young Kyouko abandons stability for a life of delinquency, jeopardizing her education and future. Fortunately, her descent into despair is interrupted by a fateful encounter with her husband-to-be Katsuya, who has recently started his teaching internship at her school.   With a composure surprisingly unaffected by Kyouko's tantrums, Katsuya quickly wins her over through his gentleness and attention toward her—sincere gestures that she has never received before. As the two grow closer together, Kyouko opens her tormented heart to him and, along with it, a door to new horizons.  [Written by MAL Rewrite]",Drama | Romance | Shoujo,,8.36,1,2022,TMS Entertainment,Masaru Yokoyama,,,— viewers describe it as i'm glad that I met you. I'm happy that I have you,AniList review synthesis,,,49310,https://myanimelist.net/anime/49310,https://myanimelist.net/images/anime/1034/120096l.jpg,Fruits Basket: Prelude,1.0
Teasing Master Takagi-san 3,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san 3,からかい上手の高木さん3,Karakai Jouzu no Takagi-san 3,1,"As summer break comes to an end, Nishikata is stoked to try out his newest pranks and finally outdo his classmate Takagi once and for all. Despite his losing streak, he is slowly getting to know the unrelenting workings of her crafty mind. However, he soon realizes that Takagi's motivations behind her teasing may not be what he initially assumed. One thing is certain, though: each fun-filled day of strategizing and competing brings the two closer than ever.  [Written by MAL Rewrite]",Comedy | Romance | Shounen,Love Status Quo | School,8.36,12,2022,Shin-Ei Animation,Hiroaki Tsutsumi,,,— viewers describe it as i hope we can stay this way forever,AniList review synthesis,,,49721,https://myanimelist.net/anime/49721,https://myanimelist.net/images/anime/1861/120361l.jpg,Karakai Jouzu no Takagi-san 3,1.0
100 Meters,Hyakuemu.,100 Meters,ひゃくえむ。,Hyakuemu.,1,"For as long as anyone can remember, Togashi has been the fastest elementary school student around. His speed makes him untouchable during every gym class and sports day, and there is nowhere his skill shines brighter than the hundred-meter dash. Bored by the lack of competition, he decides to help train Komiya, a transfer student who loves to run, but whose bad form leaves him consistently in last place. For a short time, the two are inseparable, united by their pursuit of speed. That is, until Komiya moves away just as suddenly as he came.  Years pass, and both boys continue to hone their skills. While their paths and obstacles differ, they each strive to push themselves to the limit, and find out whether Togashi's long-held belief—that all problems can be solved by being the fastest runner in the hundred-meter dash—is true.  [Written by MAL Rewrite]",Drama | Sports,,8.35,1,2025,Rock'n Roll Mountain,Hiroaki Tsutsumi,,,Beautiful — viewers describe it as for what reason do you run ? character analysis (spoilers ahead),AniList review synthesis,,,58919,https://myanimelist.net/anime/58919,https://myanimelist.net/images/anime/1259/151080l.jpg,Hyakuemu.,1.0
"Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come","Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come","ヴァイオレット・エヴァーガーデンきっと""愛""を知る日が来るのだろう","Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",1,"The CH Postal Company has just received a request to transcribe a love letter from Irma Felice, a famous opera singer. Accepting the task, Violet Evergarden visits Irma to write her letter. However, not only does Irma provide little information, she asks Violet to write based on her own feelings. Despite Violet's numerous attempts, Irma finds every version of the letter inadequate.  Violet consults her colleagues, and they help her out by writing love letters of their own. Yet even those are rejected by the opera singer. As a last resort, Violet asks Irma for her true thoughts and feelings, hoping to find the missing puzzle piece. Will the Auto Memory Doll be able to translate Irma's emotions into words?  [Written by MAL Rewrite]",Drama,,8.35,1,2018,Kyoto Animation,,,,"Notable for: writing, female protagonist, primarily adult cast, disability, heterosexual",AniList review synthesis,,,37095,https://myanimelist.net/anime/37095,https://myanimelist.net/images/anime/9/89993l.jpg,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",1.0
Sound! Euphonium 2,Hibike! Euphonium 2,Sound! Euphonium 2,響け！ユーフォニアム2,Hibike! Euphonium 2,1,"Following their success in the qualifying round for the Kansai regional competition, the members of the Kitauji High School concert band set their sights on the next upcoming performance. Utilizing their summer break to the utmost, the band participates in a camp where they are instructed by their band advisor Noboru Taki and his friends who make their living as professional musicians.  Kumiko Oumae and her friends remain determined to attain gold at the Kansai competition, but trouble arises when a student who once quit the band shows interest in rejoining and sparks unpleasant memories for the second-year members. Kumiko also learns about her teacher's surprising past and the motivation behind his desire to lead the band to victory. Reaching nationals will require hard work, and the adamant conviction in each student's commitment to the band will be put to the test.  [Written by MAL Rewrite]",Drama,Music | Performing Arts | School,8.34,13,2016,Kyoto Animation,"Alexander Porfiryevich Borodin, Akito Matsuda, Sergei Rachmaninoff",,,"Relatable — viewers describe it as ""Sound! Euphonium"" or ""how to create the most relatable character in fiction""
My love letter to Kyoto Animation",AniList review synthesis,,,31988,https://myanimelist.net/anime/31988,https://myanimelist.net/images/anime/10/81155l.jpg,Hibike! Euphonium 2,1.0
KonoSuba: God's Blessing on This Wonderful World! 3,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,この素晴らしい世界に祝福を！3,Kono Subarashii Sekai ni Shukufuku wo! 3,1,"Kazuma Satou, former NEET and current reincarnated adventurer, finally returns home after the incident at the Crimson Demon village. He is joined by his ever-reliable companions: self-absorbed goddess Aqua, one-trick pony arch-wizard Megumin, and masochistic crusader Lalatina Ford ""Darkness"" Dustiness. Following their recent exploits, the party is one step closer to vanquishing the Demon King and his armies—a terrifying task that Kazuma is eager to ignore for as long as possible. Things, however, are not going as smoothly as the group would like; they are constantly racking up debt, getting sidetracked during missions, and falling into traps due to their recklessness and eccentricities.  As the party struggles with their perennial issues, they receive an invitation from a princess interested in hearing tales of the group's ""heroic"" deeds. Darkness' pleas to refuse the invitation only fire the others up to accept it, marking the start of yet another uncanny adventure with unforeseen consequences.  [Written by MAL Rewrite]",Adventure | Comedy | Fantasy,Isekai | Parody,8.34,11,2024,Drive,Masato Kouda,,,— viewers describe it as the Comedy Isekai King Returns,AniList review synthesis,,,49458,https://myanimelist.net/anime/49458,https://myanimelist.net/images/anime/1758/141268l.jpg,Kono Subarashii Sekai ni Shukufuku wo! 3,1.0
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,鬼滅の刃 無限列車編,Kimetsu no Yaiba: Mugen Ressha-hen,1,"A mysterious string of disappearances on a certain train has caught the attention of the Demon Slayer Corps, and they have sent one of their best to exterminate what can only be a demon responsible. However, the plan to board the Mugen Train is delayed by a lesser demon who is terrorizing the mechanics and targeting a kind, elderly woman and her granddaughter. Kyoujurou Rengoku, the Flame Hashira, must eliminate the threat before boarding the train.  Sent to assist the Hashira, Tanjirou Kamado, Inosuke Hashira, and Zenitsu Agatsuma enter the train prepared to fight. But their monstrous target already has a devious plan in store for them and the two hundred passengers: by delving deep into their consciousness, the demon intends to obliterate everyone in a stunning display of the power held by the Twelve Kizuki.   [Written by MAL Rewrite]",Action | Supernatural | Shounen,Historical,8.34,7,2021,ufotable,Gou Shiina,,,"— viewers describe it as well, here we go again",AniList review synthesis,,,49926,https://myanimelist.net/anime/49926,https://myanimelist.net/images/anime/1065/118763l.jpg,Kimetsu no Yaiba: Mugen Ressha-hen,1.0
Soul Land,Douluo Dalu 2nd Season,Soul Land,斗罗大陆,Douluo Dalu 2nd Season,1,Second season of Douluo Dalu.,Action | Adventure | Fantasy,Historical | Martial Arts,8.34,237,2018,Sparkly Key Animation Studio,,,,"Notable for: cultivation, magic, full cgi, martial arts",AniList review synthesis,,,37822,https://myanimelist.net/anime/37822,https://myanimelist.net/images/anime/1538/93566l.jpg,Douluo Dalu 2nd Season,1.0
Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,小林さんちのメイドラゴン さみしがりやの竜,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,1,"Miss Kobayashi, Tohru, Kanna, and Iruru's peaceful lives are shattered when Kanna's father, Kamun Kamui, leader of the Chaos Forces, arrives and forces her to return to the Dragon World to fix a past mistake. With a war brewing between Chaos and Harmony, Kanna must find a way to unite the two worlds but is torn between her loyalty to her friends and her father's demands. Miss Kobayashi, however, refuses to let her go and tries to mend Kanna and Kamui's broken bond. As dragons clash, Iruru uncovers a hidden force manipulating the war. Can they stop the war before it consumes both worlds?  (Source: Crunchyroll)",Slice of Life | Supernatural,,8.33,1,2025,Kyoto Animation,Masumi Itou,,,"Moving, emotional — viewers describe it as the weight of loneliness and human warmth. (no spoil)",AniList review synthesis,,,59897,https://myanimelist.net/anime/59897,https://myanimelist.net/images/anime/1134/148744l.jpg,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,1.0
Natsume’s Book of Friends: On a Certain Snowy Day,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume’s Book of Friends: On a Certain Snowy Day,夏目友人帳 新作OVA いつかゆきのひに,Natsume Yuujinchou: Itsuka Yuki no Hi ni,1,"As the first delicate snowflake touches the cold ground, Nyanko-sensei dozes on his hot-water bottle next to Takashi Natsume. While his aunt prepares a warm dinner, Natsume takes a walk, welcoming the snow and the chilly weather. However, his peaceful promenade is disturbed by a white, fluffy snowman yokai with perturbing black eyes, searching for something warm and sparkly. With no further information, Natsume sets off to help find what the spirit desires.  [Written by MAL Rewrite]",Slice of Life | Supernatural | Shoujo,Iyashikei | Mythology,8.33,1,2014,Brain's Base,Makoto Yoshimori,,,"Notable for: youkai, shoujo, iyashikei, male protagonist, rural",AniList review synthesis,,,20651,https://myanimelist.net/anime/20651,https://myanimelist.net/images/anime/11/79742l.jpg,Natsume Yuujinchou: Itsuka Yuki no Hi ni,1.0
Legend of the Galactic Heroes: Die Neue These - Intrigue,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Legend of the Galactic Heroes: Die Neue These - Intrigue,銀河英雄伝説 Die Neue These 策謀,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,1,"After Yang Wen-li successfully captures the Iserlohn Fortress, the Free Planets Alliance grows bolder in its militaristic ambitions. With recent incursions into Galactic Empire territory and the possession of a perfect beachhead, the Alliance is now able to deal significant damage to the Empire. However, Reinhard von Lohengramm has no intention of allowing the Free Planets Alliance to gain a foothold. He is adamant about carrying on his best friend Siegfried Kircheis' dearest wish: to be the one to unite the universe.   As wide-scale military clashes continue, the opportunist Adrian Rubinsky, Fezzan's ambitious leader, attempts to take advantage of the war to further his personal goals.  [Written by MAL Rewrite]",Drama | Sci-Fi,Adult Cast | Military | Space,8.32,12,2022,Production I.G,"Shin Hashimoto, Yasuhisa Inoue",,,"— viewers describe it as the best season yet, as the new adaptation continues to improve after a rocky start",AniList review synthesis,,,51805,https://myanimelist.net/anime/51805,https://myanimelist.net/images/anime/1700/123762l.jpg,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,1.0
Hunter x Hunter: Original Video Animation,Hunter x Hunter: Original Video Animation,,HUNTER×HUNTER Original Video Animation,Hunter x Hunter: Original Video Animation,1,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.",Action | Adventure | Fantasy | Shounen,,8.32,8,2002,Nippon Animation,Toshihiko Sahashi,,,"Notable for: revenge, shounen, male protagonist, super power, noir",AniList review synthesis,,,137,https://myanimelist.net/anime/137,https://myanimelist.net/images/anime/1/137l.jpg,Hunter x Hunter: Original Video Animation,1.0
Legend of the Galactic Heroes: Die Neue These - Collision,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Legend of the Galactic Heroes: Die Neue These - Collision,銀河英雄伝説 Die Neue These 激突,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,1,"As Yang is ordered to appear before the Free Planet Alliance, he’s shaken by the corruption he discovers. Meanwhile, Marshal Reinhardt uncovers disloyalty under his command as an upstart admiral launches a vicious offensive to retake the Iserlohn Fortress. Struggling to make strides in this never-ending bloody war, these two finally see their true enemy lies not from without—but from within!  (Source: Crunchyroll)",Drama | Sci-Fi,Adult Cast | Military | Space,8.32,12,2022,Production I.G,"Shin Hashimoto, Yasuhisa Inoue",,,"— viewers describe it as with Collision, the new adaptation begins to show more promise despite the character design flop",AniList review synthesis,,,42886,https://myanimelist.net/anime/42886,https://myanimelist.net/images/anime/1859/118711l.jpg,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,1.0
Bocchi the Rock! Movie,Bocchi the Rock! Movie,,ぼっち・ざ・ろっく！劇場総集編,Bocchi the Rock! Movie,1,Theatrical compilation of Bocchi the Rock!,Comedy,CGDCT | Music,8.31,2,2024,CloverWorks,Tomoki Kikuya,,,"Notable for: band, cute girls doing cute things, hikikomori, female protagonist, rock music",AniList review synthesis,,,55357,https://myanimelist.net/anime/55357,https://myanimelist.net/images/anime/1256/142261l.jpg,Bocchi the Rock! Movie,1.0
